,char,strokeorder
667,列,26 28 12 30 27 39
668,珍,26 26 27 26 28 25 28 28 28
669,泡,30 30 0 28 10 31 26 47
670,七,26 47
671,祥,30 12 27 30 30 28 26 26 26 27
672,尔,28 33 39 28 30
673,克,26 27 27 31 26 29 47
674,排,26 39 0 27 26 26 26 27 26 26 26
675,鑫,28 25 26 26 27 30 28 26 28 25 26 26 27 30 28 26 28 25 26 26 27 30 28 26
676,在,26 28 27 26 27 26
677,于,26 26 39
678,触,28 33 29 10 26 26 27 27 31 26 27 0 30
679,珠,26 26 27 0 28 26 26 27 28 25
680,萌,26 27 27 27 31 26 26 29 10 26 26
681,幕,26 27 27 27 31 26 26 26 29 25 27 10 27
682,分,28 44 10 29
683,认,30 16 29 25
684,黑,27 31 30 28 26 26 27 26 30 30 30 30
685,境,26 27 26 30 26 30 28 26 27 31 26 26 29 47
686,劳,26 27 27 30 33 10 29
687,扫,26 39 0 31 26 26
688,椅,26 27 28 30 26 29 25 26 39 27 31 26
689,布,26 28 27 10 27
690,卜,27 30
691,总,30 28 27 31 26 30 5 30 30
692,紧,27 27 12 25 42 42 30 39 28 30
693,普,30 28 26 27 27 30 28 26 27 31 26 26
694,瀚,30 30 0 26 27 27 31 26 26 26 27 28 25 10 30 0 10 30 0
695,声,26 27 26 31 27 26 29
696,培,26 27 26 30 26 30 28 26 27 31 26
697,绕,42 42 0 26 3 28 26 28 47
698,假,28 27 31 26 27 26 26 31 26 12 25
699,唐,30 26 29 31 26 26 27 27 31 26
700,彊,31 26 15 26 27 31 26 27 26 26 27 31 26 27 26 26
701,托,26 39 0 28 26 47
702,稀,28 26 27 28 30 28 25 26 28 27 10 27
703,尊,30 28 26 27 31 29 6 26 26 26 39 30
704,岸,27 34 27 26 29 26 26 27
705,应,30 26 29 30 30 28 26
706,峰,27 34 27 28 12 25 26 26 26 27
707,波,30 30 0 33 29 27 12 25
708,靠,28 26 27 26 27 31 26 27 26 26 26 27 26 26 26
709,温,30 30 0 27 31 26 26 27 31 27 27 26
710,响,27 31 26 28 27 10 27 31 26
711,烤,30 28 29 30 26 27 26 28 26 15
712,思,27 31 26 27 26 30 5 30 30
713,秋,28 26 27 28 30 30 28 29 25
714,田,27 31 26 27 26
715,来,26 30 28 26 27 28 25
716,祖,30 12 27 30 27 31 26 26 26
717,班,26 26 27 0 27 28 26 26 27 26
718,观,12 25 27 31 29 47
719,香,28 26 27 28 25 27 31 26 26
720,移,28 26 27 28 30 28 12 30 28 12 30
721,画,26 27 31 26 27 26 34 27
722,吾,26 27 31 26 27 31 26
723,待,28 28 27 26 27 26 26 39 30
724,胡,26 27 27 31 26 29 10 26 26
725,升,29 26 29 27
726,浙,30 30 0 26 39 0 28 29 26 27
727,利,28 26 27 28 30 27 39
728,主,30 26 26 27 26
729,苍,26 27 27 28 25 10 47
730,搬,26 39 0 28 29 10 30 30 26 29 21 12 25
731,莫,26 27 27 27 31 26 26 26 29 25
732,塘,26 27 26 30 26 29 31 26 26 27 27 31 26
733,耳,26 27 27 26 26 26
734,卷,30 28 26 26 28 25 10 47
735,璃,26 26 27 26 30 26 28 25 34 27 27 10 42 30
736,兰,30 28 26 26 26
737,荣,26 27 27 30 33 26 27 28 25
738,做,28 27 26 27 27 31 26 28 26 28 25
739,台,42 30 27 31 26
740,亲,30 26 30 28 26 26 39 28 30
741,書,31 26 26 27 26 26 27 31 26 26
742,游,30 30 0 30 26 10 28 28 26 31 39 26
743,络,42 42 0 28 12 25 27 31 26
744,牛,28 26 26 27
745,禾,28 26 27 28 25
746,雄,26 28 42 30 28 27 30 26 26 26 27 26
747,尿,31 26 29 39 12 28 25
748,烩,30 28 29 30 28 25 26 26 42 30
749,音,30 26 30 28 26 27 31 26 26
750,肤,29 10 26 26 26 26 29 25
751,炒,30 28 29 30 39 28 30 28
752,跆,27 31 26 27 26 27 0 42 30 27 31 26
753,运,26 26 42 30 30 31 44
754,润,30 30 0 27 30 10 26 26 27 26
755,婚,40 28 26 28 37 26 3 27 31 26 26
756,顺,29 27 27 26 28 27 31 29 30
757,味,27 31 26 26 26 27 28 25
758,持,26 39 0 26 27 26 26 39 30
759,属,31 26 28 28 27 31 26 27 10 27 0 30
760,材,26 27 28 30 26 39 28
761,光,27 30 28 26 29 47
762,井,26 26 29 27
763,值,28 27 26 27 27 31 26 26 26 26
764,皖,28 27 31 26 26 30 30 33 26 26 29 47
765,震,26 30 33 27 26 26 26 26 26 29 26 26 37 28 25
766,远,26 26 29 47 30 31 44
767,书,31 10 27 30
768,敬,26 27 27 28 10 27 31 26 28 26 28 25
769,私,28 26 27 28 30 42 30
770,闪,27 30 10 29 25
771,季,28 26 27 28 25 33 39 26
772,麻,30 26 29 26 27 28 30 26 27 28 25
773,越,26 27 26 27 26 28 5 26 37 3 28 30
774,抗,26 39 0 30 26 29 14
775,氟,28 26 26 14 31 26 15 28 27
776,良,30 31 26 26 37 28 25
777,婆,30 30 0 33 29 27 12 25 40 28 26
778,刻,30 26 42 28 28 30 27 39
779,跃,27 31 26 27 26 27 0 28 26 29 25
780,换,26 39 0 28 33 27 31 26 29 25
781,宵,30 30 33 27 30 28 27 10 26 26
782,各,28 12 25 27 31 26
783,情,30 30 27 26 26 27 26 29 10 26 26
784,级,42 42 0 29 18 25
785,當,27 30 28 30 33 27 31 26 27 31 26 27 26
786,乡,42 42 28
787,士,26 27 26
788,伙,28 27 30 28 29 25
789,券,30 28 26 26 28 25 10 29
790,艺,26 27 27 48
791,订,30 16 26 39
792,层,31 26 29 26 26 42 30
793,根,26 27 28 30 31 26 26 37 28 25
794,床,30 26 29 26 27 28 25
795,帘,30 30 33 28 44 27 10 27
796,屋,31 26 29 26 42 30 26 27 26
797,企,28 25 27 26 27 26
798,齿,27 26 27 26 29 25 34 27
799,厨,26 29 26 27 31 26 30 28 26 26 39 30
800,事,26 27 31 26 31 26 26 39
801,昌,27 31 26 26 27 31 26 26
802,点,27 26 27 31 26 30 30 30 30
803,欧,26 28 25 34 28 33 29 25
804,押,26 39 0 27 31 26 26 27
805,二,26 26
806,策,28 26 30 28 26 30 26 27 10 27 28 25
807,苏,26 27 27 10 28 28 30
808,停,28 27 30 26 27 31 26 30 33 26 39
809,买,33 30 30 26 29 30
810,耀,27 30 28 26 29 47 10 30 0 10 30 0 28 27 30 26 26 26 27 26
811,泸,30 30 0 27 26 31 26 29
812,训,30 16 29 27 27
813,宁,30 30 33 26 39
814,演,30 30 0 30 30 33 26 27 31 26 27 26 28 44
815,跳,27 31 26 27 26 27 0 29 30 0 47 28 30
816,介,28 25 29 27
817,奶,40 28 26 49 29
818,奈,26 29 25 26 26 39 28 30
819,油,30 30 0 27 31 26 27 26
820,注,30 30 0 30 26 26 27 26
821,标,26 27 28 30 26 26 39 28 30
822,甬,33 30 27 10 26 26 27
823,姓,40 28 26 28 26 26 27 26
824,硕,26 28 27 31 26 26 28 27 31 29 30
825,印,28 37 26 10 27
826,坐,28 30 28 30 26 27 26
827,鞋,26 27 27 26 27 31 26 26 27 26 27 26 26 27 26
828,圣,12 25 26 27 26
829,铂,28 26 26 26 37 28 27 31 26 26
830,柯,26 27 28 30 26 39 27 31 26
831,岭,27 34 27 28 25 30 33 30
832,领,28 25 30 33 30 26 28 27 31 29 30
833,佛,28 27 31 26 15 28 27
834,仕,28 27 26 27 26
835,低,28 27 28 37 26 3 30
836,著,26 27 27 26 27 26 28 27 31 26 26
837,栋,26 27 28 30 26 34 39 28 30
838,府,30 26 29 28 27 26 39 30
839,钉,28 26 26 26 37 26 39
840,衣,30 26 28 37 28 25
841,贵,27 31 26 27 26 27 31 29 30
842,围,27 31 26 26 10 27 26
843,邮,27 31 26 27 26 20 27
844,仓,28 25 10 47
845,里,27 31 26 26 26 27 26
846,树,26 27 28 30 12 25 26 39 30
847,箱,28 26 30 28 26 30 26 27 28 30 27 31 26 26 26
848,知,28 26 26 29 25 27 31 26
849,玲,26 26 27 26 28 25 30 33 30
850,腾,28 10 26 26 30 28 26 26 28 25 31 15 26
851,舰,28 29 10 30 30 26 27 31 29 47
852,尼,31 26 29 28 47
853,馨,26 27 26 31 27 26 29 29 21 12 25 28 26 27 28 25 27 31 26 26
854,爆,30 28 29 30 27 31 26 26 26 27 27 26 28 30 39 30 0 28 30
855,农,27 33 28 37 28 25
856,吸,27 31 26 29 18 25
857,址,26 27 26 27 26 27 26
858,女,40 28 26
859,蓉,26 27 27 30 30 33 28 30 28 25 27 31 26
860,检,26 27 28 30 28 25 26 30 30 28 26
861,匝,26 27 10 27 34
862,还,26 28 27 30 30 31 44
863,祝,30 12 27 30 27 31 26 29 47
864,汁,30 30 0 26 27
865,频,27 26 27 26 27 28 28 26 28 27 31 28 30
866,范,26 27 27 30 30 0 10 47
867,夹,26 30 28 26 28 25
868,勤,26 27 27 26 27 31 26 26 26 27 0 10 28
869,姿,30 0 28 33 29 25 40 28 26
870,互,26 34 31 26
871,非,27 26 26 26 27 26 26 26
872,串,27 31 26 27 31 26 27
873,厕,26 29 27 31 29 30 27 39
874,澄,30 30 0 12 30 28 28 25 26 27 31 26 30 28 26
875,贯,34 31 27 26 27 31 29 30
876,蓝,26 27 27 27 27 28 26 30 27 31 27 27 26
877,束,26 27 31 26 27 28 25
878,初,30 12 27 28 30 10 29
879,拉,26 39 0 30 26 30 28 26
880,迁,28 26 27 30 31 44
881,干,26 26 27
882,杠,26 27 28 30 26 27 26
883,及,29 18 25
884,努,40 28 26 12 25 10 29
885,践,27 31 26 27 26 27 0 26 26 3 28 30
886,蜗,27 31 26 27 0 30 27 31 26 27 10 29 30
887,囍,26 27 26 27 31 26 30 28 26 27 31 26 26 27 26 27 31 26 30 28 26 27 31 26
888,氏,28 37 26 3
889,过,26 39 30 30 31 44
890,轿,26 34 26 27 29 26 29 25 29 27
891,后,28 29 26 27 31 26
892,奉,26 26 26 28 25 26 26 27
893,昆,27 31 26 26 26 37 28 47
894,库,30 26 29 26 34 26 27
895,梦,26 27 28 30 26 27 28 25 28 12 30
896,满,30 30 0 26 27 27 26 27 10 29 30 29 30
897,童,30 26 30 28 26 27 31 26 26 26 27 26
898,静,26 26 27 26 27 31 26 26 28 31 31 26 26 39
899,亮,30 26 27 31 26 30 33 29 14
900,岁,27 34 27 28 12 30
901,骄,31 15 26 29 26 29 25 29 27
902,瓦,26 37 14 30
903,助,27 31 26 26 26 10 29
904,那,29 10 26 26 20 27
905,宾,30 30 33 28 27 26 27 26 28 30
906,饮,28 33 37 28 33 29 25
907,练,42 42 0 26 42 10 28 30
908,秤,28 26 27 28 30 26 30 28 26 27
909,漠,30 30 0 26 27 27 27 31 26 26 26 29 25
910,表,26 26 27 26 28 37 28 25
911,缺,28 26 26 27 34 27 31 26 29 25
912,脱,29 10 26 26 30 28 27 31 26 29 47
913,供,28 27 26 27 27 26 28 30
914,驰,31 15 26 10 27 47
915,帽,27 10 27 27 31 26 26 27 31 26 26 26
916,慎,30 30 27 26 27 27 31 26 26 26 26 28 30
917,勿,28 10 28 28
918,蒙,26 27 27 30 33 26 26 28 1 28 28 28 25
919,塔,26 27 26 26 27 27 29 25 26 27 31 26
920,燕,26 27 27 26 27 31 26 27 26 0 28 47 28 30 30 30
921,娜,40 28 26 29 10 26 26 20 27
922,挖,26 39 0 30 30 33 28 44 48
923,缴,42 42 0 28 27 31 26 26 30 26 10 29 28 26 28 25
924,套,26 29 25 26 27 26 26 26 42 30
925,间,27 30 10 27 31 26 26
926,血,28 27 31 27 27 26
927,咖,27 31 26 10 29 27 31 26
928,寓,30 30 33 27 31 26 26 27 10 27 0 30
929,形,26 26 29 27 28 28 28
930,照,27 31 26 26 10 29 27 31 26 30 30 30 30
931,目,27 31 26 26 26
932,关,30 28 26 26 29 25
933,伊,28 27 31 26 26 28
934,堰,26 27 26 26 27 31 26 26 40 28 26 34
935,央,27 31 26 29 25
936,槟,26 27 28 30 30 30 33 28 27 26 27 26 28 30
937,节,26 27 27 10 27
938,旦,27 31 26 26 26
939,雹,26 30 33 27 26 26 26 26 28 10 31 26 47
940,堂,27 30 28 30 33 27 31 26 26 27 26
941,厢,26 29 26 27 28 30 27 31 26 26 26
942,申,27 31 26 26 27
943,刚,27 10 28 25 27 39
944,骑,31 15 26 26 29 25 26 39 27 31 26
945,吹,27 31 26 28 33 29 25
946,易,27 31 26 26 28 10 28 28
947,适,28 26 27 27 31 26 30 31 44
948,拆,26 39 0 28 29 26 27 30
949,耐,26 28 27 10 27 27 26 39 30
950,缝,42 42 0 28 12 25 26 26 26 27 30 31 44
951,景,27 31 26 26 30 26 27 31 26 39 28 30
952,牧,28 26 26 27 28 26 28 25
953,怡,30 30 27 42 30 27 31 26
954,权,26 27 28 30 12 25
955,哈,27 31 26 29 25 26 27 31 26
956,猪,28 1 28 26 27 26 28 27 31 26 26
957,临,27 27 28 26 30 27 31 27 26
958,因,27 31 26 29 25 26
959,徒,28 28 27 26 27 26 27 26 28 25
960,果,27 31 26 26 26 27 28 25
961,任,28 27 28 26 27 26
962,像,28 27 28 33 27 31 26 28 1 28 28 28 25
963,男,27 31 26 27 26 10 29
964,棵,26 27 28 30 27 31 26 26 26 27 28 25
965,練,42 42 30 30 30 30 26 27 31 30 28 26 27 28 25
966,御,28 28 27 28 26 26 27 26 27 0 10 27
967,受,28 30 30 28 30 33 12 25
968,零,26 30 33 27 26 26 26 26 28 25 30 33 30
969,简,28 26 30 28 26 30 27 30 10 27 31 26 26
970,義,30 28 26 26 27 26 28 26 39 0 3 28 30
971,熏,28 26 27 31 30 30 26 27 26 26 28 30 30 30
972,畸,27 31 26 27 26 26 29 25 26 39 27 31 26
973,灯,30 28 29 30 26 39
974,项,26 27 26 26 28 27 31 29 30
975,票,26 27 31 27 27 26 26 26 39 28 30
976,单,30 28 27 31 26 26 26 27
977,职,26 27 27 26 26 26 27 31 26 28 30
978,熟,30 26 27 31 26 33 39 26 29 14 30 30 30 30 30
979,潮,30 30 0 26 27 27 31 26 26 26 27 29 10 26 26
980,系,28 42 42 30 39 28 30
981,补,30 12 27 28 30 27 30
982,辉,27 30 28 26 29 47 30 33 26 34 26 27
983,塑,30 28 26 34 27 29 29 10 26 26 26 27 26
984,賀,10 29 27 31 26 27 31 26 26 26 28 30
985,淮,30 30 0 28 27 30 26 26 26 27 26
986,窝,30 30 33 28 44 27 31 26 27 10 29 30
987,选,28 26 27 26 29 47 30 31 44
988,横,26 27 28 30 26 27 27 26 27 31 26 27 26 28 30
989,暨,31 26 26 37 30 26 42 28 47 27 31 26 26 26
990,酿,26 27 31 29 6 26 26 30 31 26 26 37 28 25
991,冷,30 0 28 25 30 33 30
992,折,26 39 0 28 29 26 27
993,浪,30 30 0 30 31 26 26 37 28 25
994,夏,26 28 27 31 26 26 26 28 12 25
995,食,28 25 30 31 26 26 37 28 30
996,贺,10 29 27 31 26 27 31 29 30
997,钛,28 26 26 26 37 26 29 25 30
998,凤,29 14 12 25
999,念,28 25 30 12 30 5 30 30
1000,旗,30 26 10 28 28 26 26 27 27 26 26 26 28 30
1001,必,30 5 30 28 30
1002,翔,30 28 26 26 26 27 10 30 0 10 30 0
1003,命,29 25 26 27 31 26 10 27
1004,恒,30 30 27 26 27 31 26 26 26
1005,酷,26 27 31 29 6 26 26 28 26 27 26 27 31 26
1006,茗,26 27 27 28 12 30 27 31 26
1007,浓,30 30 0 27 33 28 37 28 25
1008,賓,30 27 33 26 27 28 28 27 31 26 26 26 28 30
1009,坞,26 27 0 28 10 15 26
1010,媒,40 28 26 26 27 27 26 26 26 27 28 25
1011,醫,26 28 26 26 29 25 34 29 21 12 25 26 27 31 29 6 26 26
1012,将,27 30 0 28 12 30 26 39 30
1013,殖,26 28 12 30 26 27 27 31 26 26 26 26
1014,丹,29 10 30 26
1015,构,26 27 28 30 28 10 42 30
1016,奋,26 29 25 27 31 26 27 26
1017,顿,26 34 27 47 26 28 27 31 29 30
1018,轴,26 34 26 27 27 31 26 27 26
1019,埠,26 27 26 28 27 31 26 31 26 26 27
1020,涮,30 30 0 31 26 29 27 10 27 27 39
1021,续,42 42 0 26 27 33 30 30 26 29 30
1022,室,30 30 33 26 42 30 26 27 26
1023,归,27 29 31 26 26
1024,预,33 30 33 39 26 28 27 31 29 30
1025,削,27 30 28 27 10 26 26 27 39
1026,添,30 30 0 26 26 29 25 39 28 30 30
1027,霸,26 30 33 27 26 26 26 26 26 27 27 26 27 31 26 26 27 29 10 26 26
1028,缅,42 42 0 26 28 27 31 27 27 26 26 26
1029,脚,29 10 26 26 26 27 26 42 30 10 27
1030,堡,28 27 27 31 26 26 27 28 25 26 27 26
1031,棚,26 27 28 30 29 10 26 26 29 10 26 26
1032,蜜,30 30 33 30 5 30 28 30 27 31 26 27 0 30
1033,宽,30 30 33 26 27 27 27 31 29 47
1034,崇,27 34 27 30 30 33 26 26 39 28 30
1035,沟,30 30 0 28 10 42 30
1036,身,28 27 10 26 26 26 28
1037,阴,20 27 29 10 26 26
1038,烫,30 30 0 49 28 28 30 28 29 25
1039,顾,26 29 10 47 26 28 27 31 29 30
1040,更,26 27 31 26 26 29 25
1041,赐,27 31 29 30 27 31 26 26 28 10 28 28
1042,雕,29 10 26 27 26 27 31 26 28 27 30 26 26 26 27 26
1043,戴,26 27 26 3 28 30 27 31 26 27 26 26 27 27 26 28 44
1044,把,26 39 0 31 27 26 47
1045,蓄,26 27 27 30 26 42 42 30 27 31 26 27 26
1046,从,29 25 29 25
1047,垂,28 26 26 27 27 26 27 26
1048,登,12 30 28 28 25 26 27 31 26 30 28 26
1049,禁,26 27 28 30 26 27 28 25 26 26 39 28 30
1050,啦,27 31 26 26 39 0 30 26 30 28 26
1051,投,26 39 0 29 21 12 25
1052,写,30 33 26 15 26
1053,辽,33 39 30 31 44
1054,咪,27 31 26 30 28 26 27 28 25
1055,柴,27 26 27 26 28 47 26 27 28 25
1056,蒂,26 27 27 30 26 30 28 30 33 27 10 27
1057,戈,26 3 28 30
1058,袭,26 28 28 47 30 30 26 28 37 28 25
1059,涡,30 30 0 27 31 26 27 10 29 30
1060,诺,30 16 26 27 27 26 28 27 31 26
1061,颐,26 27 27 31 26 27 34 26 28 27 31 28 30
1062,嘴,27 31 26 27 26 27 26 28 47 28 33 29 10 26 26 27
1063,抓,26 39 0 28 29 27 25
1064,极,26 27 28 30 29 18 25
1065,處,27 26 33 29 26 47 28 12 25 29 14
1066,悉,28 30 28 26 27 28 25 30 5 30 30
1067,醇,26 27 31 29 6 26 26 30 26 27 31 26 33 39 26
1068,与,26 15 26
1069,腋,28 10 26 26 30 26 28 27 28 12 30 25
1070,也,10 27 47
1071,癜,30 26 29 30 0 31 26 29 26 27 27 26 28 30 29 21 12 25
1072,玻,26 26 27 26 33 29 27 12 25
1073,妇,40 28 26 31 26 26
1074,邦,26 26 26 29 20 27
1075,钣,28 26 26 26 37 28 29 12 25
1076,影,27 31 26 26 30 26 27 31 26 39 28 30 28 28 28
1077,毛,28 26 26 47
1078,摩,30 26 29 26 27 28 30 26 27 28 25 28 26 26 39
1079,砖,26 28 27 31 26 26 26 45 30
1080,绘,42 42 0 28 25 26 26 42 30
1081,闯,27 30 10 31 15 26
1082,如,40 28 26 27 31 26
1083,同,27 10 26 27 31 26
1084,了,33 39
1085,污,30 30 0 26 26 15
1086,党,27 30 28 30 33 27 31 26 29 47
1087,赁,28 27 28 26 27 26 27 31 29 30
1088,宏,30 30 33 26 28 42 30
1089,说,30 16 30 28 27 31 26 29 47
1090,宜,30 30 33 27 31 26 26 26
1091,堵,26 27 26 26 27 26 28 27 31 26 26
1092,酸,26 27 31 29 6 26 26 42 30 28 44 28 12 25
1093,屏,31 26 29 30 28 26 26 29 27
1094,压,26 28 26 27 30 26
1095,漫,30 30 0 27 31 26 26 27 31 27 27 26 12 25
1096,鲁,28 33 27 31 26 27 26 26 27 31 26 26
1097,促,28 27 27 31 26 27 26 28 25
1098,栏,26 27 28 30 30 28 26 26 26
1099,拍,26 39 0 28 27 31 26 26
1100,统,42 42 0 30 26 42 30 29 47
1101,附,20 27 28 27 26 39 30
1102,索,26 27 30 33 42 42 30 39 28 30
1103,剪,30 28 26 29 10 26 26 27 39 10 29
1104,鹏,29 10 26 26 29 10 26 26 28 10 30 15 26
1105,萝,26 27 27 27 31 27 27 26 28 12 30
1106,护,26 39 0 30 31 26 29
1107,叔,27 26 26 39 28 30 12 25
1108,驴,31 15 26 30 31 26 29
1109,拱,26 39 0 26 27 27 26 28 30
1110,览,27 27 28 26 30 27 31 28 47
1111,递,30 28 31 26 15 27 28 30 12 5
1112,赋,27 31 29 30 26 26 3 30 27 26 27 26
1113,阜,28 27 31 26 31 26 26 27
1114,消,30 30 0 27 30 28 27 10 26 26
1115,候,28 27 27 31 26 28 26 26 28 25
1116,帝,30 26 30 28 30 33 27 10 27
1117,步,27 26 27 26 27 28 28
1118,松,26 27 28 30 28 25 42 30
1119,委,28 26 27 28 25 40 28 26
1120,俭,28 27 28 25 26 30 30 28 26
1121,犇,28 26 26 27 28 26 26 27 28 26 26 27
1122,沫,30 30 0 26 26 27 28 25
1123,姚,40 28 26 29 30 0 47 28 30
1124,包,28 10 31 26 47
1125,橋,26 27 28 30 28 26 29 25 27 31 26 27 10 27 31 26
1126,卖,26 27 33 30 30 26 29 30
1127,送,30 28 26 26 29 25 30 31 44
1128,琴,26 26 27 26 26 26 27 26 28 25 30 12
1129,鱼,28 33 27 31 26 27 26 26
1130,樂,42 42 30 28 27 31 26 26 42 42 30 26 27 28 25
1131,栗,26 27 31 27 27 26 26 27 28 25
1132,腚,29 10 26 26 30 30 33 26 27 26 28 25
1133,際,49 27 28 12 30 30 12 25 26 26 39 28 30
1134,纳,42 42 0 27 10 29 30
1135,歌,26 27 27 31 26 26 39 27 31 26 28 33 29 25
1136,華,27 26 27 26 26 26 27 27 26 26 27
1137,贝,27 31 29 30
1138,谊,30 16 30 30 33 27 31 26 26 26
1139,暑,27 31 26 26 26 27 26 28 27 31 26 26
1140,瓶,30 28 26 26 29 27 26 37 14 30
1141,動,28 26 27 31 26 26 26 27 26 10 29
1142,碗,26 28 27 31 26 30 27 33 28 12 30 10 47
1143,孕,49 29 33 39 26
1144,汉,30 30 0 12 25
1145,测,30 30 0 27 31 29 30 27 39
1146,末,26 26 27 28 25
1147,界,27 31 26 27 26 28 25 29 27
1148,蜀,27 31 27 27 26 28 10 27 31 26 27 0 30
1149,闻,27 30 10 26 27 27 26 26 26
1150,虞,27 26 33 29 26 47 27 31 26 26 26 29 25
1151,湿,30 30 0 27 31 26 26 27 27 30 28 26
1152,望,30 26 6 29 10 26 26 26 26 27 26
1153,晴,27 31 26 26 26 26 27 26 29 10 26 26
1154,想,26 27 28 30 27 31 26 26 26 30 5 30 30
1155,沙,30 30 0 39 28 30 28
1156,擦,26 39 0 30 27 33 28 12 30 30 12 25 26 26 39 28 30
1157,贷,28 27 26 3 30 27 31 29 30
1158,坊,26 27 26 30 26 10 29
1159,眷,30 28 26 26 28 25 27 31 26 26 26
1160,巷,26 27 27 26 28 30 31 26 47
1161,翅,26 27 12 25 10 30 0 10 30 0
1162,态,26 29 25 30 30 5 30 30
1163,洲,30 30 0 28 28 30 27 30 27
1164,隐,20 27 28 33 31 26 26 30 5 30 30
1165,张,31 26 15 28 26 37 25
1166,東,26 27 31 26 26 27 28 25
1167,讲,30 16 26 26 29 27
1168,纸,42 42 0 28 37 26 3
1169,膜,29 10 26 26 26 27 27 27 31 26 26 26 29 25
1170,守,30 30 33 26 39 30
1171,准,30 0 28 27 30 26 26 26 27 26
1172,琳,26 26 27 26 26 27 28 30 26 27 28 25
1173,负,28 33 27 31 29 30
1174,对,12 25 26 39 30
1175,指,26 39 0 28 47 27 31 26 26
1176,婴,27 31 29 30 27 31 29 30 40 28 26
1177,坚,27 27 12 25 26 27 26
1178,聨,26 27 27 26 26 26 42 42 30 42 42 30 26 29 27
1179,骗,31 15 26 30 31 26 29 27 10 26 27 27
1180,副,26 27 31 26 27 31 26 27 26 27 39
1181,询,30 16 28 10 27 31 26 26
1182,尝,27 30 28 30 33 26 26 42 30
1183,责,26 26 27 26 27 31 29 30
1184,門,27 31 26 26 27 10 26 26
1185,料,30 28 26 27 28 25 30 30 26 27
1186,亭,30 26 27 31 26 30 33 26 39
1187,孩,33 39 26 30 26 42 28 28 30
1188,倪,28 27 28 27 26 31 26 26 29 47
1189,笑,28 26 30 28 26 30 28 26 29 25
1190,肖,27 30 28 27 10 26 26
1191,吧,27 31 26 31 27 26 47
1192,记,30 16 31 26 47
1193,藕,26 27 27 26 26 26 27 28 25 27 31 26 26 27 10 27 0 30
1194,枫,26 27 28 30 29 14 28 25
1195,激,30 30 0 28 27 31 26 26 30 26 10 29 28 26 28 25
1196,两,26 27 10 29 30 29 30
1197,帮,26 26 26 29 20 27 27 10 27
1198,寺,26 27 26 26 39 30
1199,编,42 42 0 30 31 26 29 27 10 26 27 27
1200,涛,30 30 0 26 26 26 28 26 39 30
1201,傲,28 27 26 26 27 26 10 28 28 26 28 25
1202,师,27 29 26 27 10 27
1203,算,28 26 30 28 26 30 27 31 26 26 26 26 29 27
1204,滑,30 30 0 27 31 31 30 33 27 10 26 26
1205,个,28 25 27
1206,神,30 12 27 30 27 31 26 26 27
1207,择,26 39 0 12 25 26 26 27
1208,狱,28 1 28 30 16 26 29 25 30
1209,蘇,27 26 27 26 28 33 27 31 26 27 26 30 30 30 30 28 26 27 28 25
1210,马,31 15 26
1211,纤,42 42 0 28 26 27
1212,底,30 26 29 28 37 26 3 30
1213,少,39 28 30 28
1214,译,30 16 12 25 26 26 27
1215,圾,26 27 26 29 18 25
1216,娱,40 28 26 27 31 26 26 26 29 25
1217,课,30 16 27 31 26 26 26 27 28 25
1218,烈,26 28 12 30 27 39 30 30 30 30
1219,再,26 27 10 26 27 26
1220,奥,29 27 10 30 28 26 27 28 25 26 29 25
1221,咨,30 0 28 33 29 25 27 31 26
1222,煌,30 28 29 30 28 27 31 26 26 26 26 27 26
1223,緣,42 42 30 30 30 30 34 31 26 28 1 28 28 28 25
1224,置,27 31 27 27 26 26 27 27 31 26 26 26 26
1225,苹,26 27 27 26 30 28 26 27
1226,突,30 30 33 28 44 26 29 25 30
1227,噪,27 31 26 27 31 26 27 31 26 27 31 26 26 27 28 25
1228,陪,20 27 30 26 30 28 26 27 31 26
1229,歧,27 26 27 26 26 27 12 25
1230,邻,28 25 30 33 30 20 27
1231,魔,30 26 29 26 27 28 30 26 27 28 25 28 27 31 26 26 29 47 42 30
1232,融,26 27 31 26 27 10 29 47 26 27 27 31 26 27 0 30
1233,裕,30 12 27 28 30 28 30 28 25 27 31 26
1234,减,30 0 26 29 3 28 30 26 27 31 26
1235,督,27 26 26 39 28 30 12 25 27 31 26 26 26
1236,除,20 27 28 25 26 26 39 28 30
1237,髙,30 26 27 27 26 26 27 31 27 31 26
1238,妈,40 28 26 31 15 26
1239,楚,26 27 28 30 26 27 28 25 33 27 26 28 25
1240,欣,28 29 26 27 28 33 29 25
1241,坝,26 27 26 27 31 29 30
1242,粤,28 27 31 30 28 26 27 28 30 26 26 15
1243,缆,42 42 0 27 27 28 26 30 27 31 28 47
1244,時,27 31 26 26 26 27 26 26 39 30
1245,疯,30 26 29 30 0 29 14 28 25
1246,仔,28 27 33 39 26
1247,抛,26 39 0 29 14 10 29
1248,故,26 27 27 31 26 28 26 28 25
1249,纱,42 42 0 39 28 30 28
1250,翟,10 30 0 10 30 0 28 27 30 26 26 26 27 26
1251,乌,28 10 15 26
1252,试,30 16 26 3 30 26 27 26
1253,慈,30 28 26 42 42 30 42 42 30 30 5 30 30
1254,仿,28 27 30 26 10 29
1255,爷,28 30 28 25 10 27
1256,战,27 26 27 31 26 26 3 28 30
1257,息,28 27 31 26 26 26 30 5 30 30
1258,功,26 27 26 10 29
