,char,strokeorder
657,活,D D T P-H-S S-HZ-H
658,档,H-S-P-D S-D-P HZ-H-H
659,米,D P H-S-P-N
660,儿,SP SWG
661,吊,S-HZ-H S-HZG-S
662,距,S HZ H S H S T H HZ H SZ
663,资,D T P-HG SP-N S-HZ SP-D
664,织,PZ-PZ T S-HZ-H P D
665,視,D-HP-S-D S-HZ-H-H-H SP SWG
666,按,H-SG-T D-D-HG PD-P-H
667,列,H P-HP-D S SG
668,珍,H H-S-H P-N P P P
669,泡,D D T P-HZG HZ-H-SWG
670,七,H-SWG
671,祥,D-HP-S-D D-P-H-H-H-S
672,尔,P-HG SG P D
673,克,H-S-S-HZ-H-SP-SWG
674,排,H-SG-T S-H-H-H S-H-H-H
675,鑫,P-N H-H-S-D-P-H P-N H-H-S-D-P-H P-N H-H-S-D-P-H
676,在,H-P-S H-S-H
677,于,H-H-SG
678,触,P-HG SP-HZG-H-H-S S-HZ-H-S-T-D
679,珠,H H S T P H H S P N
680,萌,H-S-S S-HZ-H-H SP-HZG-H-H
681,幕,H-S-S S-HZ-H-H H-SP-N S-HZG-S
682,分,P TN HZG-SP
683,认,D HZT SP-N
684,黑,S-HZ-D-P-H-H-S-H D D D D
685,境,H-S-H D H D P H S-HZ-H-H SP SWG
686,劳,H-S-S D-HG HZG-SP
687,扫,H-SG-T HZ-H-H
688,椅,H-S-P-D H-SP-N H-SG S-HZ-H
689,布,H-P S-HZG-S
690,卜,S D
691,总,D P S-HZ-H D BXG D D
692,紧,S S HP N PZ PZ D SG P D
693,普,D P H S-S-D-P-H S-HZ-H-H
694,瀚,D D T H-S S-HZ-H-H H-S P-N HZG D T HZG D T
695,声,H-S-H HZ-S-H-SP
696,培,H-S-H D H D P H S-HZ-H
697,绕,PZ PZ T H XG P H P SWG
698,假,P-S HZ-H-S-H-H HZ-H HP-N
699,唐,D-H-SP HZ-H-H-S S-HZ-H
700,彊,HZ-H-SZWG H S-HZ-H-S-H H S-HZ-H-S-H H
701,托,H-SG-T P H-SWG
702,稀,P-H-S-P-D P-N H-P S-HZG-S
703,尊,D P H-S-HZ-SP-SW-H-H H-SG-D
704,岸,S-SZ-S H-SP H H-S
705,应,D-H-SP D D P H
706,峰,S-SZ-S P-HP-N H-H-H-S
707,波,D D T HG-SP-S-HP-N
708,靠,P-H-S-H S-HZ-H S-H-H-H S-H-H-H
709,温,D D T S-HZ-H-H S-HZ-S-S-H
710,响,S-HZ-H P-S-HZG S-HZ-H
711,烤,D-P-SP-D H-S-H-P H-SZWG
712,思,S-HZ-H-S-H D BXG D D
713,秋,P-H-S-P-D D-P-SP-N
714,田,S-HZ-H-S-H
715,来,H D P H-S-P-N
716,祖,D-HP-S-D S-HZ-H-H-H
717,班,H H S T S P H H S H
718,观,HP-N S-HZ SP SWG
719,香,P-H-S-P-N S-HZ-H-H
720,移,P-H-S-P-D P-HP-D P-HP-D
721,画,H S-HZ-H-S-H SZ-S
722,吾,H-S-HZ-H S-HZ-H
723,待,P P-S H-S-H H-SG-D
724,胡,H-S S-HZ-H SP-HZG-H-H
725,升,SP H-SP-S
726,浙,D D T H-SG-T P-SP-H-S
727,利,P-H-S-P-D S SG
728,主,D H H-S-H
729,苍,H-S-S P-N HZG-SWG
730,搬,H-SG-T P-SP-HZG-D-D-H SP HZW HP-N
731,莫,H-S-S S-HZ-H-H H-SP-N
732,塘,H-S-H D-H-SP HZ-H-H-S S-HZ-H
733,耳,H-S-S-H-H-H
734,卷,D P H-H-P-N HZG-SWG
735,璃,H H-S-H D H P-N SZ-S S-HZG-PZ-D
736,兰,D P H H H
737,荣,H-S-S D-HG H-S-P-N
738,做,P-S H-S S-HZ-H P-H-P-N
739,台,PZ-D S-HZ-H
740,亲,D H D P H H-SG P D
741,書,HZ H H S H H S HZ H H
742,游,D D T D H HZG P P H HZ SG H
743,络,PZ-PZ T P-HP-N S-HZ-H
744,牛,P-H-H-S
745,禾,P-H-S-P-N
746,雄,H-P PZ-D P-S-D-H-H-H-S-H
747,尿,HZ-H-SP SG-HP-P-N
748,烩,D-P-SP-D P-N H H-PZ-D
749,音,D H D P H S-HZ-H-H
750,肤,SP-HZG-H-H H-H-SP-N
751,炒,D-P-SP-D SG P D P
752,跆,S-HZ-H S-H-S-T PZ-D S-HZ-H
753,运,H H-PZ-D D HZ-TN
754,润,D D T S-D-HZG H H-S-H
755,婚,PD-P-H P-ST-H-XG S-HZ-H-H
756,顺,SP S S H-P S-HZ SP-D
757,味,S-HZ-H H-H-S-P-N
758,持,H-SG-T H-S-H H-SG-D
759,属,HZ H P P S HZ H S HZG S T D
760,材,H-S-P-D H-SG-P
761,光,S-D-P-H-SP-SWG
762,井,H-H-SP-S
763,值,P-S H-S-S-HZ-H-H-H H
764,皖,P-S-HZ-H-H D-D-HG H-H-SP-SWG
765,震,H-D-HG-S H H H H H-SP H H-ST-P-N
766,远,H-H-SP-SWG D HZ-TN
767,书,HZ HZG S D
768,敬,H-S-S P-HZG S-HZ-H P-H-P-N
769,私,P-H-S-P-D PZ-D
770,闪,S-D-HZG SP-N
771,季,P-H-S-P-N HG-SG-H
772,麻,D-H-SP H-S-P-D H-S-P-N
773,越,H S H S H P BXG H ST XG P D
774,抗,H-SG-T D H SP HZWG
775,氟,P H H HZWG HZ H SZWG P S
776,良,D HZ-H-H-ST-P-N
777,婆,D D T HG-SP-S-HP-N PD-P-H
778,刻,D-H-PZ-P P-D S SG
779,跃,S-HZ-H S-H-S-T P-H-SP-N
780,换,H-SG-T P-HG S-HZ-H-SP-N
781,宵,D-D-HG S-D-P S-HZG-H-H
782,各,P-HP-N S-HZ-H
783,情,D D S H-H-S-H SP-HZG-H-H
784,级,PZ-PZ T SP-HZZP-N
785,當,S-D-P D-HG S-HZ-H S-HZ-H-S-H
786,乡,PZ-PZ-P
787,士,H-S-H
788,伙,P-S D-P-SP-N
789,券,D P H-H-P-N HZG-SP
790,艺,H-S-S HXWG
791,订,D HZT H-SG
792,层,HZ-H-SP H H-PZ-D
793,根,H-S-P-D HZ-H-H-ST-P-N
794,床,D-H-SP H-S-P-N
795,帘,D D-HG P TN S-HZG-S
796,屋,HZ-H-SP H PZ-D H-S-H
797,企,P-N S-H-S-H
798,齿,S-H-S-H SP-N SZ-S
799,厨,H-SP H S-HZ-H D P H H-SG-D
800,事,H S-HZ-H HZ-H-H SG
801,昌,S-HZ-H-H S-HZ-H-H
802,点,S-H S-HZ-H D D D D
803,欧,H P-N SZ P-HG SP-N
804,押,H-SG-T S-HZ-H-H-S
805,二,H H
806,策,P H D P H D H S HZG S P N
807,苏,H S S HZG P P D
808,停,P-S D H S-HZ-H D-HG H-SG
809,买,HG D D H-SP-D
810,耀,S-D-P-H-SP-SWG HZG D T HZG D T P-S-D-H-H-H-S-H
811,泸,D D T S-H HZ-H-SP
812,训,D HZT SP S S
813,宁,D-D-HG H-SG
814,演,D D T D-D-HG H S-HZ-H-S-H P TN
815,跳,S-HZ-H S-H-S-T SP-D-T-SWG-P-D
816,介,P-N SP S
817,奶,PD-P-H HZZZG-SP
818,奈,H-SP-N H H SG P D
819,油,D D T S-HZ-H-S-H
820,注,D D T D H H-S-H
821,标,H-S-P-D H H SG P D
822,甬,HG-D S-HZG-H-H-S
823,姓,PD-P-H P-H-H-S-H
824,硕,H-P S-HZ-H H-P S-HZ SP-D
825,印,P ST H HZG S
826,坐,P D P D H S H
827,鞋,H-S-S-H-S-HZ-H-H-S H-S-H H-S-H
828,圣,HP-N H-S-H
829,铂,P-H-H-H-ST P-S-HZ-H-H
830,柯,H-S-P-D H-SG S-HZ-H
831,岭,S-SZ-S P-N D-HG-D
832,领,P-N D-HG-D H-P S-HZ SP-D
833,佛,P S HZ H SZWG P S
834,仕,P-S H-S-H
835,低,P-S P-ST-H-XG D
836,著,H-S-S H-S-H-P S-HZ-H-H
837,栋,H-S-P-D H-SZ-SG P D
838,府,D-H-SP P-S H-SG-D
839,钉,P-H-H-H-ST H-SG
840,衣,D H P ST P N
841,贵,S-HZ-H S H S-HZ SP-D
842,围,S-HZ H-H-HZG-S H
843,邮,S-HZ-H-S-H HPWG-S
844,仓,P-N HZG-SWG
845,里,S-HZ-H-H-H-S-H
846,树,H-S-P-D HP-N H-SG-D
847,箱,P-H-D P-H-D H-S-P-D S-HZ-H-H-H
848,知,P-H-H-SP-N S-HZ-H
849,玲,H H-S-H P-N D-HG-D
850,腾,P HZG H H D P H H P N HZ SZWG H
851,舰,P-SP-HZG-D-D-H S-HZ SP SWG
852,尼,HZ-H-SP P-SWG
853,馨,H-S-H HZ-S-H-SP SP HZW HP-N P-H-S-P-N S-HZ-H-H
854,爆,D-P-SP-D S-HZ-H-H H-S-S-H-P-D SG D T P D
855,农,S HG P ST P N
856,吸,S-HZ-H SP-HZZP-N
857,址,H-S-H S-H-S-H
858,女,PD-P-H
859,蓉,H-S-S D-D-HG P D P-N S-HZ-H
860,检,H-S-P-D P-N H D D P H
861,匝,H S-HZG-S SZ
862,还,H-P-S-D D HZ-TN
863,祝,D-HP-S-D S-HZ-H SP SWG
864,汁,D D T H-S
865,频,S H S H S P P H P S HZ P D
866,范,H-S-S D D T HZG-SWG
867,夹,H D P H P N
868,勤,H S S H S HZ H H H S T HZG P
869,姿,D T P-HG SP-N PD-P-H
870,互,H-SZ-HZ-H
871,非,S-H-H-H S-H-H-H
872,串,S-HZ-H S-HZ-H S
873,厕,H-SP S-HZ SP-D S SG
874,澄,D D T HP-D P-P-N H S-HZ-H D P H
875,贯,SZ-HZ-S-H S-HZ SP-D
876,蓝,H S S S S P H D S HZ S S H
877,束,H-S-HZ-H-S-P-N
878,初,D-HP-S-P-D HZG-SP
879,拉,H-SG-T D H D P H
880,迁,P-H-S D HZ-TN
881,干,H H-S
882,杠,H-S-P-D H S-H
883,及,SP-HZZP-N
884,努,PD-P-H HP-N HZG-SP
885,践,S-HZ-H S-H-S-T H-H-XG-P-D
886,蜗,S-HZ-H-S-T-D S-HZ-H S-HZG SP-D
887,囍,H-S-H S-HZ-H D P H S-HZ-H H-S-H S-HZ-H D P H S-HZ-H
888,氏,P-ST-H-XG
889,过,H-SG-D D HZ-TN
890,轿,H-SZ-H-S SP H-SP-N SP S
891,后,P-SP-H S-HZ-H
892,奉,H H H P N H H S
893,昆,S-HZ-H-H H-ST P-SWG
894,库,D-H-SP H-SZ-H-S
895,梦,H-S-P-D H-S-P-N P-HP-D
896,满,D D T H-S-S H-S-HZG-SP-D-SP-D
897,童,D H D P H S-HZ-H-H-H-S-H
898,静,H H S H S HZ H H P HZ HZ H H SG
899,亮,D H S-HZ-H D-HG SP HZWG
900,岁,S-SZ-S P-HP-D
901,骄,HZ-SZWG H SP H-SP-N SP S
902,瓦,H-ST-HZWG D
903,助,S-HZ-H-H-H HZG-SP
904,那,SP-HZG-H-H HPWG-S
905,宾,D-D-HG P-S-H-S-H P D
906,饮,P-HG ST P-HG SP-N
907,练,PZ PZ T H PZ HZG P D
908,秤,P-H-S-P-D H-D-P-H-S
909,漠,D D T H-S-S S-HZ-H-H H-SP-N
910,表,H H S H P ST P N
911,缺,P-H-H-S-SZ-S HZ-H-SP-N
912,脱,SP-HZG-H-H D P S-HZ-H SP SWG
913,供,P-S H-S-S-H-P-D
914,驰,HZ-SZWG H HZG-S-SWG
915,帽,S-HZG-S S-HZ H H S-HZ-H-H-H
916,慎,D D S H-S S-HZ-H-H-H H P D
917,勿,P-HZG-P-P
918,蒙,H-S-S D-HG H H-P-WG-P-P-P-N
919,塔,H-S-H H-S-S SP-N H S-HZ-H
920,燕,H S S H S HZ H S H T P SWG P D D D
921,娜,PD-P-H SP-HZG-H-H HPWG-S
922,挖,H-SG-T D D-HG P TN HXWG
923,缴,PZ-PZ T P-S-HZ-H-H D-H-HZG-SP P-H-P-N
924,套,H-SP-N H-S-H-H-H-PZ-D
925,间,S-D-HZG S-HZ-H-H
926,血,P S-HZ-S-S-H
927,咖,S-HZ-H HZG-SP S-HZ-H
928,寓,D-D-HG S-HZ-H-H-S-HZG-S-T-D
929,形,H H-SP-S P P P
930,照,S-HZ-H-H HZG-SP S-HZ-H D D D D
931,目,S-HZ-H-H-H
932,关,D P H-H-SP-N
933,伊,P S HZ H H P
934,堰,H-S-H H S-HZ-H-H PD-P-H SZ
935,央,S-HZ-H-SP-N
936,槟,H-S-P-D D-D-HG P-S-H-S-H P D
937,节,H S S HZG S
938,旦,S-HZ-H-H H
939,雹,H-D-HG-S H H H H P-HZG HZ-H-SWG
940,堂,S-D-P D-HG S-HZ-H H-S-H
941,厢,H-SP H-S-P-D S-HZ-H-H-H
942,申,S-HZ-H-H-S
943,刚,S-HZG P-N S SG
944,骑,HZ-SZWG H H-SP-N H-SG S-HZ-H
945,吹,S-HZ-H P-HG SP-N
946,易,S-HZ-H-H P-HZG-P-P
947,适,P-H-S S-HZ-H D HZ-TN
948,拆,H-SG-T P-SP-H-S-D
949,耐,H-P-S-HZG-S-S H-SG-D
950,缝,PZ-PZ T P-HP-N H-H-H-S D HZ-TN
951,景,S-HZ-H-H D-H S-HZ-H-SG-P-D
952,牧,P-H-H-S P-H-P-N
953,怡,D D S PZ-D S-HZ-H
954,权,H-S-P-D HP-N
955,哈,S-HZ-H SP-N H S-HZ-H
956,猪,P-WG-P H-S-H-P S-HZ-H-H
957,临,S S P H D S HZ S H
958,因,S-HZ H-SP-N H
959,徒,P P-S H-S-H S-H-P-N
960,果,S-HZ-H-H-H-S-P-N
961,任,P-S P H-S-H
962,像,P-S P-HG-S-HZ-H-P-WG-P-P-P-N
963,男,S-HZ-H-S-H HZG-SP
964,棵,H-S-P-D S-HZ-H-H-H-S-P-N
965,練,PZ-PZ D D D D H-S-HZ-D-P-H-S-P-N
966,御,P P S P H H S H S T HZG S
967,受,P D D P D-HG HP-N
968,零,H-D-HG-S H H H H P-N D-HG-D
969,简,P-H-D P-H-D S-D-HZG S-HZ-H-H
970,義,D-P-H-H-S-H P-H-SG-T-XG-P-D
971,熏,P H S HZ D D H S H H P D D D
972,畸,S-HZ-H-S-H H-SP-N H-SG S-HZ-H
973,灯,D-P-SP-D H-SG
974,项,H S-H H-P S-HZ SP-D
975,票,H-S-HZ-S-S-H H H SG P D
976,单,D P S-HZ-H-H-H-S
977,职,H-S-S-H-H-H S-HZ-H P D
978,熟,D H S-HZ-H HG-SG-H SP-HZWG-D D D D D
979,潮,D D T H-S S-HZ-H-H H-S SP-HZG-H-H
980,系,P PZ-PZ-D SG P D
981,补,D-HP-S-P-D S D
982,辉,S-D-P-H-SP-SWG D-HG H-SZ-H-S
983,塑,D P H SZ-S-SP SP-HZG-H-H H-S-H
984,賀,HZG-SP S-HZ-H S-HZ-H-H-H P D
985,淮,D D T P-S-D-H-H-H-S-H
986,窝,D D-HG P TN S-HZ-H S-HZG SP-D
987,选,P-H-S-H-SP-SWG D HZ-TN
988,横,H-S-P-D H-S-S-H S-HZ-H-S-H P D
989,暨,HZ H H ST D H PZ P SWG S HZ H H H
990,酿,H-S-HZ-SP-SW-H-H D HZ-H-H-ST-P-N
991,冷,D T P-N D-HG-D
992,折,H-SG-T P-SP-H-S
993,浪,D D T D HZ-H-H-ST-P-N
994,夏,H P-S-HZ-H-H-H P-HP-N
995,食,P-N-D-HZ-H-H-ST-P-D
996,贺,HZG-SP S-HZ-H S-HZ SP-D
997,钛,P-H-H-H-ST H-SP-N D
998,凤,SP HZWG HP-N
999,念,P-N D HP D BXG D D
1000,旗,D H HZG P P H H S S H H H P D
1001,必,D BXG D P D
1002,翔,D-P-H-H-H-S HZG D T HZG D T
1003,命,SP-N H S-HZ-H HZG-S
1004,恒,D D S H S-HZ-H-H H
1005,酷,H-S-HZ-SP-SW-H-H P-H-S-H S-HZ-H
1006,茗,H-S-S P-HP-D S-HZ-H
1007,浓,D D T S HG P ST P N
1008,賓,D S HG H S P P S HZ H H H P D
1009,坞,H S T P HZG SZWG H
1010,媒,PD-P-H H-S-S H H H-S-P-N
1011,醫,H P-H-H-SP-N SZ SP HZW HP-N H-S-HZ-SP-SW-H-H
1012,将,S D T P-HP-D H-SG-D
1013,殖,H P-HP-D H-S-S-HZ-H-H-H H
1014,丹,SP-HZG-D-H
1015,构,H-S-P-D P-HZG PZ-D
1016,奋,H-SP-N S-HZ-H-S-H
1017,顿,H-SZ-S-SWG H-P S-HZ SP-D
1018,轴,H-SZ-H-S S-HZ-H-S-H
1019,埠,H-S-H P S-HZ-H-HZ-H H-S
1020,涮,D D T HZ-H-SP S-HZG-S S-SG
1021,续,PZ-PZ T H-S HG D D H-SP-D
1022,室,D-D-HG H PZ-D H-S-H
1023,归,S SP HZ-H-H
1024,预,HG-D-HG-SG H-P S-HZ SP-D
1025,削,S-D-P S-HZG-H-H S SG
1026,添,D D T H-H-SP-N SG P D D
1027,霸,H-D-HG-S H H H H H-S-S-H-S-HZ-H-H-S SP-HZG-H-H
1028,缅,PZ-PZ T H-P S-HZ-S-S-H-H-H
1029,脚,SP-HZG-H-H H-S-H PZ-D HZG-S
1030,堡,P-S S-HZ-H H-S-P-N H-S-H
1031,棚,H-S-P-D SP-HZG-H-H SP-HZG-H-H
1032,蜜,D-D-HG D BXG D P D S-HZ-H-S-T-D
1033,宽,D-D-HG H-S-S S-HZ SP SWG
1034,崇,S-SZ-S D-D-HG H H SG P D
1035,沟,D D T P-HZG PZ-D
1036,身,P-S-HZG-H-H-H-P
1037,阴,HPWG-S SP-HZG-H-H
1038,烫,D D T HZZZG-P-P D-P-SP-N
1039,顾,H-SP HZG-SWG H-P S-HZ SP-D
1040,更,H-S-HZ-H-H-SP-N
1041,赐,S-HZ SP-D S-HZ-H-H P-HZG-P-P
1042,雕,SP-HZG H-S-H S-HZ-H P-S-D-H-H-H-S-H
1043,戴,H-S H-XG-P-D S-HZ-H-S-H H-S-S-H P TN
1044,把,H-SG-T HZ-S-H-SWG
1045,蓄,H-S-S D H PZ-PZ-D S-HZ-H-S-H
1046,从,SP-N SP-N
1047,垂,P H H S S H S H
1048,登,HP-D P-P-N H S-HZ-H D P H
1049,禁,H-S-P-D H-S-P-N H H SG P D
1050,啦,S-HZ-H H-SG-T D H D P H
1051,投,H-SG-T SP HZW HP-N
1052,写,D-HG H-SZWG-H
1053,辽,HG-SG D HZ-TN
1054,咪,S-HZ-H D P H-S-P-N
1055,柴,S-H-S-H P-SWG H-S-P-N
1056,蒂,H-S-S D H D P D-HG S-HZG-S
1057,戈,H-XG-P-D
1058,袭,H P P SWG D D H P ST P N
1059,涡,D D T S-HZ-H S-HZG SP-D
1060,诺,D HZT H-S-S H-P S-HZ-H
1061,颐,H S S HZ H S SZ H P S HZ P D
1062,嘴,S-HZ-H S-H-S-H P-SWG P-HG SP-HZG-H-H-S
1063,抓,H-SG-T P-SP-S-N
1064,极,H-S-P-D SP-HZZP-N
1065,處,S-H-HG-SP H-SWG P-HP-N SP HZWG
1066,悉,P D P H-S-P-N D BXG D D
1067,醇,H-S-HZ-SP-SW-H-H D H S-HZ-H HG-SG-H
1068,与,H-SZWG-H
1069,腋,P HZG H H D H P S P HP D N
1070,也,HZG-S-SWG
1071,癜,D-H-SP D T HZ-H-SP H-S-S-H-P-D SP HZW HP-N
1072,玻,H H-S-H HG-SP-S-HP-N
1073,妇,PD-P-H HZ-H-H
1074,邦,H-H-H-SP HPWG-S
1075,钣,P-H-H-H-ST P-SP HP-N
1076,影,S-HZ-H-H D-H S-HZ-H-SG-P-D P P P
1077,毛,P-H-H-SWG
1078,摩,D-H-SP H-S-P-D H-S-P-N P-H-H-SG
1079,砖,H-P S-HZ-H H-H-SZZ-D
1080,绘,PZ-PZ T P-N H H-PZ-D
1081,闯,S-D-HZG HZ-SZWG H
1082,如,PD-P-H S-HZ-H
1083,同,S-HZG H S-HZ-H
1084,了,HG-SG
1085,污,D D T H H-SZWG
1086,党,S-D-P D-HG S-HZ-H SP SWG
1087,赁,P-S P H-S-H S-HZ SP-D
1088,宏,D-D-HG H-P PZ-D
1089,说,D HZT D P S-HZ-H SP SWG
1090,宜,D-D-HG S-HZ-H-H-H
1091,堵,H-S-H H-S-H-P S-HZ-H-H
1092,酸,H-S-HZ-SP-SW-H-H PZ-D P TN P-HP-N
1093,屏,HZ-H-SP D P H H-SP-S
1094,压,H P H S D H
1095,漫,D D T S-HZ-H-H S-HZ-S-S-H HP-N
1096,鲁,P-HG S-HZ-H-S-H H S-HZ-H-H
1097,促,P-S S-HZ-H S-H-P-N
1098,栏,H-S-P-D D P H H H
1099,拍,H-SG-T P-S-HZ-H-H
1100,统,PZ-PZ T D H-PZ-D SP-SWG
1101,附,HPWG-S P-S H-SG-D
1102,索,H-S D-HG PZ-PZ-D SG P D
1103,剪,D P H SP-HZG-H-H S SG HZG-SP
1104,鹏,SP-HZG-H-H SP-HZG-H-H P-HZG-D-SZWG H
1105,萝,H-S-S S-HZ-S-S-H P-HP-D
1106,护,H-SG-T D HZ-H-SP
1107,叔,S-H-H SG P D HP-N
1108,驴,HZ-SZWG H D HZ-H-SP
1109,拱,H-SG-T H-S-S-H-P-D
1110,览,S S P H D S HZ P SWG
1111,递,D P HZ H SZWG S P D HP BXG
1112,赋,S-HZ SP-D H H-XG D S-H-S-H
1113,阜,P S-HZ-H-HZ-H H-S
1114,消,D D T S-D-P S-HZG-H-H
1115,候,P S S HZ H P H H P N
1116,帝,D H D P D-HG S-HZG-S
1117,步,S H S H S P P
1118,松,H-S-P-D P N PZ-D
1119,委,P-H-S-P-N PD-P-H
1120,俭,P-S P-N H D D P H
1121,犇,P-H-H-S P-H-H-S P-H-H-S
1122,沫,D D T H-H-S-P-N
1123,姚,PD-P-H SP-D-T-SWG-P-D
1124,包,P-HZG HZ-H-SWG
1125,橋,H-S-P-D P-H-SP-N S-HZ-H S-HZG S-HZ-H
1126,卖,H-S HG D D H-SP-D
1127,送,D P H-H-SP-N D HZ-TN
1128,琴,H H-S-H H H-S-H P-N D HP
1129,鱼,P-HG S-HZ-H-S-H H
1130,樂,PZ-PZ-D P-S-HZ-H-H PZ-PZ-D H-S-P-N
1131,栗,H-S-HZ-S-S-H H-S-P-N
1132,腚,SP-HZG-H-H D-D-HG H S-H-P-N
1133,際,HZZZG S P HP D D HP N H H SG P D
1134,纳,PZ-PZ T S-HZG SP-D
1135,歌,H-S S-HZ-H H-SG S-HZ-H P-HG SP-N
1136,華,S H S H H H S S H H S
1137,贝,S-HZ SP-D
1138,谊,D HZT D-D-HG S-HZ-H-H-H
1139,暑,S-HZ-H-H H-S-H-P S-HZ-H-H
1140,瓶,D P H H-SP-S H-ST-HZWG D
1141,動,P-H-S-HZ-H-H-H-S-H HZG-SP
1142,碗,H P S HZ H D S HG P HP D HZG SWG
1143,孕,HZZZG-SP HG-SG-H
1144,汉,D D T HP-N
1145,测,D D T S-HZ SP-D S SG
1146,末,H-H-S-P-N
1147,界,S-HZ-H-S-H P-N SP S
1148,蜀,S-HZ-S-S-H P-HZG S-HZ-H-S-T-D
1149,闻,S-D-HZG H-S-S-H-H-H
1150,虞,S-H-HG-SP H-SWG S-HZ-H H-H-SP-N
1151,湿,D D T S-HZ-H-H S-S-D-P-H
1152,望,D H-SW SP-HZG-H-H H H-S-H
1153,晴,S-HZ-H-H H-H-S-H SP-HZG-H-H
1154,想,H-S-P-D S-HZ-H-H-H D BXG D D
1155,沙,D D T SG P D P
1156,擦,H SG T D S HG P HP D D HP N H H SG P D
1157,贷,P-S H-XG D S-HZ SP-D
1158,坊,H-S-H D-H-HZG-SP
1159,眷,D P H-H-P-N S-HZ-H-H-H
1160,巷,H-S-S-H-P-D HZ-H-SWG
1161,翅,H-S HP-N HZG D T HZG D T
1162,态,H-SP-N D D BXG D D
1163,洲,D D T P P D S D S
1164,隐,HPWG-S P-HG HZ-H-H D BXG D D
1165,张,HZ-H-SZWG P-H-ST-N
1166,東,H-S-HZ-H-H-S-P-N
1167,讲,D HZT H-H-SP-S
1168,纸,PZ-PZ T P-ST-H-XG
1169,膜,SP-HZG-H-H H-S-S S-HZ-H-H H-SP-N
1170,守,D-D-HG H-SG-D
1171,准,D T P-S-D-H-H-H-S-H
1172,琳,H H-S-H H-S-P-D H-S-P-N
1173,负,P-HG S-HZ SP-D
1174,对,HP-N H-SG-D
1175,指,H-SG-T P-SWG S-HZ-H-H
1176,婴,S-HZ SP-D S-HZ SP-D PD-P-H
1177,坚,S S HP N H S H
1178,聨,H-S-S-H-H-H PZ-PZ-D PZ-PZ-D H-SP-S
1179,骗,HZ-SZWG H D HZ-H-SP S-HZG H-S-S
1180,副,H S-HZ-H S-HZ-H-S-H S SG
1181,询,D HZT P-HZG S-HZ-H-H
1182,尝,S-D-P D-HG H H-PZ-D
1183,责,H-H-S-H S-HZ SP-D
1184,門,S-HZ-H-H S-HZG-H-H
1185,料,D P H-S-P-N D D H-S
1186,亭,D H S-HZ-H D-HG H-SG
1187,孩,HG-SG-H D-H-PZ-P P-D
1188,倪,P-S P-S-H-HZ-H-H SP SWG
1189,笑,P-H-D P-H-D P-H-SP-N
1190,肖,S-D-P S-HZG-H-H
1191,吧,S-HZ-H HZ-S-H-SWG
1192,记,D HZT HZ-H-SWG
1193,藕,H-S-S H-H-H-S-P-N S-HZ-H-H-S-HZG-S-T-D
1194,枫,H-S-P-D SP HZWG P-N
1195,激,D D T P-S-HZ-H-H D-H-HZG-SP P-H-P-N
1196,两,H-S-HZG-SP-D-SP-D
1197,帮,H-H-H-SP HPWG-S S-HZG-S
1198,寺,H-S-H H-SG-D
1199,编,PZ-PZ T D HZ-H-SP S-HZG H-S-S
1200,涛,D D T H-H-H-P-H-SG-D
1201,傲,P-S H-H-S-H-HZG-P P-H-P-N
1202,师,S SP H S-HZG-S
1203,算,P-H-D P-H-D S-HZ-H-H-H H-SP-S
1204,滑,D D T S-HZ-HZ-D-HG S-HZG-H-H
1205,个,P-N S
1206,神,D-HP-S-D S-HZ-H-H-S
1207,择,H SG T HP N H H S
1208,狱,P-WG-P D HZT H-SP-N D
1209,蘇,S-H S-H P-HG S-HZ-H-S-H D D D D P-H-S-P-N
1210,马,HZ-SZWG H
1211,纤,PZ-PZ T P-H-S
1212,底,D-H-SP P-ST-H-XG D
1213,少,SG P D P
1214,译,D HZT HP N H H S
1215,圾,H-S-H SP-HZZP-N
1216,娱,PD-P-H S-HZ-H H-H-SP-N
1217,课,D HZT S-HZ-H-H-H-S-P-N
1218,烈,H P-HP-D S SG D D D D
1219,再,H-S-HZG-H-S-H
1220,奥,SP S-HZG D P H-S-P-N H-SP-N
1221,咨,D T P-HG SP-N S-HZ-H
1222,煌,D-P-SP-D P-S-HZ-H-H H H-S-H
1223,緣,PZ-PZ D D D D SZ-HZ-H-P-WG-P-P-P-N
1224,置,S-HZ-S-S-H H-S-S-HZ-H-H-H H
1225,苹,H-S-S H-D-P-H-S
1226,突,D D-HG P TN H-SP-N D
1227,噪,S-HZ-H S-HZ-H S-HZ-H S-HZ-H H-S-P-N
1228,陪,HPWG-S D H D P H S-HZ-H
1229,歧,S-H-S-H H-S HP-N
1230,邻,P-N D-HG-D HPWG-S
1231,魔,D-H-SP H-S-P-D H-S-P-N P-S-HZ-H-H-SP-SWG PZ-D
1232,融,H S-HZ-H S-HZG SP SWG H S S-HZ-H-S-T-D
1233,裕,D-HP-S-P-D P D P-N S-HZ-H
1234,减,D T H-SP-XG-P-D H S-HZ-H
1235,督,S-H-H SG P D HP-N S-HZ-H-H-H
1236,除,HPWG-S P-N H-H-SG P D
1237,髙,D H S S H H S HZ S HZ H
1238,妈,PD-P-H HZ-SZWG H
1239,楚,H-S-P-D H-S-P-N HG S-H-P-N
1240,欣,P-SP-H-S P-HG SP-N
1241,坝,H-S-H S-HZ SP-D
1242,粤,P S HZ D P H S P D H H SZWG
1243,缆,PZ PZ T S S P H D S HZ P SWG
